,text
2645,nyc
2646,nice
2647,i love this game
2648,yes ok
2649,"the game is very heavy on weak devices,and there is a lot of screen cutting and it does not provide any connection to the weak devices.the game becomes complex it isn't lite anymore there lots mode for us to play. the length of a game has ben increasing since this app is established."
2650,page
2651,very good
2652,please add room card in clan
2653,adilkhan. my mobil small
2654,this game is really starting to get boring. i'm about to delete it now i'm the next five days
2655,free fire kr lo ap are ff is best game
2656,like very much
2657,this game is not a game it is 🤔 🤔 🤔 🤔 speeches 🤐
2658,please open the gun claim
2659,this is best game but i like td and td warehouse was deleted when? td warehouse will return?
2660,fun
2661,align
2662,it us very good game
2663,just
2664,
2665,nice
2666,good
2667,very bad because td mode is also gone i dont like this game now. the controls are not good.
2668,ain't good without td
2669,good g
2670,সেই
2671,rocky mental plzzzzzzzz
2672,i love this game
2673,اللعبه دي ممتعه وحلوه قوي
2674,nice game
2675,not bad
2676,said ali
2677,العبه حلو بس نمة بدي العب فيها يطلعلي هي العلامة ⚠ او يمكن ازا صارت يطلعلي الوقت متل هي ⬇ ويبلش لحته يقولو finish مشان الله حلولها مشان الله بلييز
2678,best game
2679,good
2680,td
2681,good game
2682,fix gro asap
2683,good
2684,i like this pub
2685,goal ali mater
2686,mehboob
2687,very nice
2688,tbm more le good kya. boy ❤
2689,nice
2690,palpitation a dick with 2 months and america you know
2691,top
2692,m.await said
2693,super
2694,i can't find td match 🥺🥺🥺
2695,good game for gamers but some problem i have good internet but my game not work properly please solve this problem from game.
2696,nice but new when update 0.21.0 kab
2697,nothing just fix ping problem please please. or the game wil die soon.
2698,bomb 27 kill les word aim eltuneliyev333 du vs ftin
2699,pub
2700,pro player
2701,🥰🥰🥰🥰🥰🥰
2702,game is so lagging
2703,i want to gro my account
2704,good game
2705,like the graphics
2706,my name is rink kumar
2707,its fun and enjoyable
2708,it's a game of luck many times.. it's not following its genuine rules.. many times a simple level took more than 10 attempt and a hard level crossed with in 1 attempt with much moves left.
2709,this is the worst game for time lose of every one don't play any one like me for ur expansive time don't waste ur time this is my humble request to you please
2710,it is so fun im only 15 lmaz
2711,good
2712,fun
2713,amazing
2714,abbas bahrain
2715,role
2716,please give files
2717,osm
2718,great game
2719,awesome
2720,play the game every day
2721,what are you doing to stop this game from freezing this game is still freezing and it takes your progress
2722,good good ful ksu
2723,sup
2724,good
2725,happy
2726,sexy
2727,rubra
2728,enjoying your game . than much. having fun.happy easter. merry mas. still fun. happy st. patrick day. and happy easter.
2729,good
2730,fun game
2731,all the best
2732,good
2733,sweet candy soda
2734,i like candy crush saga because it is indian
2735,amazing game better version of candy crush
2736,yes yep
2737,excellent game will let my friends no about candy crush soda and to have a go they will enjoy it xxxx
2738,good game
2739,nice game
2740,so much fuuuuuun entertaining
2741,nice game
2742,relaxing
2743,this is good for everyone
2744,sweet candy.
2745,good game
2746,my gold bars magically disappear without me using them for an extra turn. has happened a few times. not cool.
2747,very good
2748,super game
2749,"my favorite game,i cant stop playing...."
2750,very fun game better than the crush.
2751,interesting..
2752,good
2753,good
2754,it's a fantastic game i love this game
2755,warsaw habit tango lago lago horikango war war laura kar ma paula magic tango lukiro sakura hull hull laura uri uri kukumaro syria laura juku juku tango turbo
2756,the game is interesting but the app is sometimes very slow
2757,it's downloading bt it's nt installed after the owned gets complete. ..
2758,nice game
2759,nice game
2760,m in love with this game. i love this more the candy crush saga
2761,this is the most fixed money grab game there is. just look who makes the game they need to pay for all the ads they put out. total runoff game and company run from game
2762,the game is not responding to any of the moves at level 1227 i have been trying to complete the game since yesterday but the game is not responding to my moves further move 15!!! please fix it
2763,very good
2764,good
2765,very good game
2766,love it
2767,i like it
2768,fdfgswipe left or right to deletelong press to edit & lockggx size fu dated
2769,i love this game im in lv.72 and barry is always lose my brother is lv.46
2770,adults need
2771,good
2772,its fun and it kills time
2773,adventure
2774,entertainment
2775,this game is awesome!!
2776,the game is perfect for stress management.
2777,enjoy it
2778,love it!
2779,datereviewatethisapp
2780,superb
2781,ok
2782,love for candy crush soda saga
2783,1 good
2784,nice game... this was a amazing game....
2785,nice.
2786,nice and beautiful and more lovely
2787,nice game
2788,excellent
2789,super
2790,always loving ♥️
2791,it's a 5 star game
2792,interesting n struggling
2793,good
2794,i play this game and win in 4000 level i like this game
2795,very interesting games i got lots of fun so i am very exited for play the game
2796,good...interesting
2797,great fun
2798,it is full for all of people
2799,great game very addictive
2800,good fun game
2801,worst app and customer care is more worse we need to wait for morethan 30 mins to talk to customer care executive...never seen such a worst customer care and app is full of bugs because of these bugs we are looking many opportunities
2802,"after update, app is not working. crashes when trying to login."
2803,not opening
2804,very good
2805,my sharekhan app not opening after tapping again and again
2806,worst app. its crashing i am unable to open it.
2807,the brokerage charge is too high. stay away from sharekhan 🥵
2808,very bad why. point after 4yrs of exp on.sharekhan app. 1. sharekhan should hire good people in.gt who are more caring abt client. 2. tech issue always. so they must know what are the required thing to be added in app feature. 3. very very bad in term of t&c transparency- you will take loss just due to you are not aware abt the term and condition and unable to see margin inside app. 4. required elements are missing on trading app. why you are so lazy guys
2809,need to upgrade this app....
2810,good
2811,this application has suddenly stopped working..... it doesn't initiate at all.... i get an error 'the app keeps stopping'
2812,ridiculous app. the customer services never respond case there's a transaction issue and your money has got stuck. it's has happened a lot of times
2813,"unable to withdrawal funds at every time, worst application i have seen."
2814,after update its not working
2815,please help me
2816,good app
2817,worse apps ever existed
2818,love to use what
2819,"good, better, best,"
2820,i love it
2821,bad app
2822,really cool my cousin in china is so far away from me and i'm able to speak with her really well!
2823,take up too much space... app size keep growing and not able to reduce even deleting files or chat.. something is wrong with this app
2824,not god
2825,"it's so frustrating!!!!!!!!!!!!!!!!!!!!! i've never been that frustrated with an app before. i can't sign up because i'm stuck on the puzzle verification, kept asking me to slide the puzzle to the location for like 30 times and i still can't pass the puzzle and sign up. did what not pay your developer or something and why play this prank?!! not interested to get new users anymore?!"
2826,goodness
2827,any back ko
2828,i just use what for chinese brawl stars :/
2829,what is an absolute garbage
2830,stupid chinese app
2831,never opened for me some glitch and no one answered my questions no service
2832,"i used to give it 4 star. but, the usage of storage make me mad but i still need this app :( i have enough space but still can't open the app. could u plz fix this problem"
2833,good
2834,unable to create an account because i don't have a friend to verify me. i'll just chat elsewhere. stupidest verification system i've ever seen.
2835,bad experience
2836,it a great app but i can't open it in my phone and it will keep switching my phone off
2837,good
2838,when will version 8 be available on google play?
2839,i wanna boycott all china production #rejectmilitarycoup #shameonyouchina
2840,"the people nearby section is not working, always says, unable to load location, please fix"
2841,this is china product.
2842,useless app security f*
2843,its one of the bestgames ever
2844,suddenly file crush and all contact lost... is that someone try to hack my phone by using what? first time having this problem by using phone app.
2845,my app doesn't have a option to reply to a comment.
2846,not create account
2847,what skr manga menyusahkan nak register. tak mcm du... xboleh ke mudahkan pengguna.
2848,china is stealing our personal information. boycott chinese application!
2849,boycotting of china app
2850,"do i seriously have to hunt down a user of this app just so i can complete the joining process for myself? what a terrible, terrible design. there is no way i'm jumping through hoops to join when i can just keep using kick."
2851,why come out system error?please settle it's soon.
2852,"china is bad county for myanmar ppl, they support military to kill us."
2853,trash china made app. verification process takes forever
2854,very bad
2855,stupid app
2856,you got boycott from myanmar
2857,i even played to get verified but then the sms verification says suspicious attempt.
2858,do not open my what account
2859,let this app add all number id
2860,best
2861,"all chinese products are fake and spamming , fully rubbish"
2862,i love the app very reliable and works perfectly
2863,this app is selling our data to the government of china
2864,it's my first time using the app
2865,very useful and works pretty well.
2866,too slow i slept when i open it
2867,dollar
2868,kanal
2869,"i like most that provide very useful informations to students and who need it. every section is well managed, easy to find all programs and courses details."
2870,it’s a great and best opportunity to all those people who are quite passionate and enthusiastic about analytics. i would like to wish them the best of all and good luck for their career.
2871,upgrade in association with iii-bangalore is escaping the future of business data analytics and supporting many data enthusiasts as i to realize getting the job of our dreams.
2872,i would like to spinoff saying that panda course from upgrade and iii-bangalore will give india the best data analysts of tomorrow who will become a very crucial part of the analytics domain and industry.
2873,"faculty at upgrade has been very supportive and helpful. i would like to thank my student mentor vanshika agrawal, under whose guidance and mentorship, i have come so far in this course."
2874,i would like to extend my warm regards and thanks to the following professors for illuminating us with their knowledge and i would say that they are a very rich and vital sources of education.
2875,case studies and assignments in each module have further helped me develop as an analyst and i have full faith that this experience would come in handy at times when i undertake any critical projects in future.
2876,the only thing which inspires me is the useful questions and answers session which keeps on happening on a daily basis in the discussion forum.
2877,i would like to say that joining this course in cohort-2 has truly been a quite wonderful opportunity as i came across lot of analytical minds
2878,it has been 8 months almost since the course has started and upgrade has exposed me to all the challenges and developments which would happen in a real scenario in the data analytics industry.
2879,"panda course from upgrade and iii-bangalore has happened fortunately to me and it has helped enhance my skills in excel, sql, r etc."
2880,"i was looking forward to join a course which helps understand data analytics and improve my analytical skills. thanks to facebook, it introduced me to panda course from upgrade and iii-bangalore."
2881,the only thing which helped me while working as a call centre agent is english communication skills as i got a good command over the language while speaking to with americans.
2882,best thing is that it work smoothly even on slow internet connections. at the end i want to thank upgrade for giving me this ultimate learning opportunity free of cost.
2883,they also showed me real life startup and their founder story which makes me more motivated. the layout of upgrade app and website is good enough & easy to use and understand.
2884,the course constructors and representatives are very good throughout the course.they used very simple and understandable language and easy terms for explaining.
2885,"after learning this course i’m damn sure i have learned each and every thing from 0 to 100 for startup like-marketing & management, accounts and finance"
2886,it games me step by step instructions regarding startup and how to manipulate it in practical.test & assignments at the end of the every lecture makes me more focused and alert.
2887,the contents of this course are excellent and kept in very systematic way.each module given under specified category and covers each and every single topic related to that module.
2888,make sure you download this application and improve your skills because this application is the best application on the play store.
2889,you can be better than what you are today you can change your life throughout with upgrading your skills.
2890,this app have all the things you required to become expert in your particular industry you can be your own boss
2891,good game
2892,i got a placement in with very good package and where did i studied my ai course from upgrade
2893,the training program is really good you can change your career to a better place
2894,supercharger your data science skills you can improve all you have to do is download upgrade
2895,you can have a better future by using this application this will make you a better scholar
2896,"loved the app!.. doesn't have ads, clean interface easy to use. course material is well thought and ideal for beginners to learn. thanks, team upgrade..."
2897,"absolutely incredible platform to learn, basic and advance everything is in this application, we don't want to look anywhere else now. thanks upgrade..."
2898,i am impressed with it very much #best app thanks for providing this app and all containers is in hindi that's good but you have do also in english i am repeating again #best app.download it and its certificate is 100%real.thankyou...
2899,an amazing opportunity for emerging it professionals to explore and excel in the competitive concepts in demand in the job market. just one suggestion on the app enhancement front that can we please integrate a search functionality so that the filtering of the desired course becomes handy. a million thanks to everyone.
2900,this app is superb for online learner because it is most beneficial to increase our knowledge and improve our skills and get certificate...
2901,"on the other hand, every subject and course is very well organised and the faculty members are very good. in terms of time & your name, my feedback is to keep posted."
2902,"outstanding application for online courses. lectures are delivered by industry practitioners. and a wonderful learning experience, too."
2903,the free content that this app offers is really nice and covers all the basics. happy to use the programme
2904,"the experience with upgrade is exceptional. the team is highly professional. the lms is ideally appropriate for every sort of learner, very easy to access and at every stage, very well guided by the mentors, feels like you are hand holding at every learning module session."
2905,"in every aspect, the application runs perfectly, inviting the creators of this app to make learning a pleasant experience. simplicity and availability of course modules is the best aspect of this app."
2906,an app or software that will take you back to your roots by through the road blocks to start fresh and achieve your professional objectives.
2907,"first of all, a huge thank you to team upgrade. such an immersive learning and discovery forum for the modern technology age"
2908,"nice platform-leaning experience. there are courses that are nicely explained. all is nice with regard to the app, except one thing. please add resolution quality, as already added on the website, to each training video."
2909,"suggestion: the drop-down menu of the modules are by default expanded. scrolling through or collapsing the drop-down menu overtime i enter the page is bothersome. please, make it collapsed by default."
2910,"especially when reading something or writing responses on the upgrade platform, it is often in portrait mode, a landscape mode of the application for the smartphone and tablet would be highly appreciated."
2911,i just installed this app i am happy with the experience..simple and safe
2912,top universities are there which will provide you with the best education to you
2913,"you can enroll in any of masters courses like mba, mca, and many more on upgrade..."
2914,"i liked this app because i get knowledge and some basic information on some courses, and it's video content like i am learning in live classes..."
2915,it is a very helpful app for everyone. you can learn every course and improve your skills which will help you in getting a job.
2916,best experience to study online even in lockdown too. i have lot's of options to learn the technical language... anytime..anywhere. i feel enthusiastic after using this app.
2917,it is a very good app which provides skill development courses. these courses are helpful to make good knowledge and a stronger cv for career growth.
2918,best programming learning app i've ever seen the explain the contents very deeply and there are lots of languages are available on the app in which we can learn there are lots of programming languages to be learned.
2919,well done... teaching a lot to learn in this app. i understand everything that i learn from this app.
2920,it's a very good app to enhance our skills and to learn various courses from the experienced staff...
2921,very good app i learned very much from this app it helps to enhance my knowledge and also the way of teaching is very good for all teachers.
2922,it's amazing. i don't have words to express my feelings. i am so happy after found this app. i also recommend my friends to use this app and improve their knowledge. thank you so much.
2923,i love it☺️ thank you so much for sharing your knowledge with us. i am enjoying every lecture and learning new stuff every day... great job...
2924,really speaking it's a wonderful app with lots of amazing lectures... so suitable for engineering students.
2925,amazing app that provides wonderful opportunities to learn new things & faculty is too good.
2926,very nice app for the course which i was unable to find at any other website i found it here. thanks to you i was really trying hard to find that course...
2927,this application is a great application for all those students who learn about new knowledge and it also provides a certificate for each course...
2928,best to learn languages in our own tone. it’s ins bet working well and learning is best titles .. it gives me a lot of knowledge thanks for providing such type of information thank you...
2929,nice and very informative app. the way of teaching is very easy and in familiar language strongly recommend who want to improve themselves.
2930,"great for beginners to learn more about data science! and on top of that, the ui is nicely designed."
2931,great great great app for python learners. i already started to use this app for learning python. thanks.
2932,great application. a very useful app for data science and machine learning. easy and simple to use. the concept is also great. thanks.
2933,"the app is good to learn digital marketing, this app makes me happy while l am learning..."
2934,"i have learnt a lot from the courses on upgrade and i am far more skilled now, and i can certify it!"
2935,the digital marketing course on upgrade also provided me with a certificate. it helped me a lot.
2936,"best online courses... best app for learning i have never seen any app very helpful and knowledgeable.i suggest all guys should learn from this app for coding, html, and also getting certificates.i hope this message will help you guys. easy to understand... we can learn anytime anywhere...thank you so much, team"
2937,i found this application a month ago and i have completed lots of courses in this application and my feedback for this application is that this is too good.
2938,this app really improved my career this app really helped me a lot and i am very thankful to this app.
2939,this is the best tool you can use for or winning the war of your career.
2940,i have skilled myself and learn coding on this application which really helps me in my career.
2941,i love this platform because it was really easy to use and it was really great way to improve your career.
2942,syllabus is really good i enrolled for postgraduate program and i am really happy with the experience all the things you very systematic and in a very good manner.
2943,this application is running perfectly in every possible aspect making my learning experience great.
2944,if you don't have lots of time in your work and you want to improve your self career advice and you want to improve your learning that this will help you.
2945,i̇ğrenç ötest
2946,really a great content user experience was really good and i think this is the right option for higher learning online.
2947,my experience with this application was really great everything was really good and i am really happy with all the stuff.
2948,explore programs in field of every possible career which is really important like management data science machine learning and much more.
2949,application insure and give end to end support which helps on the learners to have entire journey better.
2950,i just love this app it's mindblowing it’s very easy to learn to code and get a certificate from an authorized university...
2951,make your learning experience much better with the master’s program served by upgrade...
2952,"once you download the app, there’s no going back. the best part is if you don’t know any word or have any confusion."
2953,at first the update seemed frustrating but it’s okay i guess! great app for becoming upgraded for future.
2954,personally felt quite overwhelmed learning from scratch and loving it then.
2955,"makes learning great fun. got the ad free purchase, is worth it."
2956,till now its guid im using and joined wid bba program
2957,this app has got learning right for sure. it makes learning easier and more fun as well.
2958,"the amazing content, interactive exercises and the beautiful animations!! learning was never so much fun ❤️"
2959,i am very good at learning. this app did the i am possible things best for learning ! just loved this app
2960,it is the best app i ever installed!!!! thanks for providing a free platform for people to learn
2961,i managed to learn a lot just in three days ! worth downloading
2962,"upgrade is comprehensive in its methodology. grammar and vocabulary are emphasised equally, making this the most useful learning tool out there."
2963,this app is so fun . i am enjoying so much while learning the skills. it have never so fun while learning a new skill.
2964,i would suggest everyone to use this app and learn new skills. well done. keep it up
2965,"i started using this app recently itself, and it has made learning of a new language so fun and easy for me !"
2966,the quizzes are so fun to solve. the motivational messages in the middle are so addiction.
2967,i’ve been using this app for a month and i loved this learning apps it is so good.
2968,one of the easiest and more fun loving courses in our own language.
2969,really a good game to play for years
2970,"this game is very nice,enjoyable and it doesn't adds"
2971,simply brilliant
2972,whats wrong with this game. i played this game to much and reached level 11 and then i go online and now my level is 4. i dont know why.pnzz fix this
2973,awesome
2974,good
2975,this game were open my mind to be build subdivision.. that all
2976,"good job, but it is really takes too long to build anything, not well optimized"
2977,how do i play :')
2978,the game is well and good and yo can also ad features like bank to apply loan at a level ......which will be useful for development of infrastructure. it can also be played by us weekly or monthly.
2979,well am still downloading it but i think am gonna like it date d reason y i rated it 2stars
2980,op game
2981,awesome
2982,bad app
2983,excellent graphic...developer trying to make it as realistic as possible..however the taken part is a difficult part for me..
2984,offline
2985,"it is extremely slow to progress in this game, i would the materials for expanding the city to be a little more easier to access, also please add a colorblind feature, a few things are color coordinated but i have colorvision problems. also, please make the production a little faster. thank you developers i greatly enjoy your creation."
2986,your game area small i not happy please big area in simcity
2987,"goodgame, plz make a proper sharing of all things like sim cash, simoleons, golden keys,etc. only in the club members group , so we can easily exchange goods and money with each other , then it became the proper club, if members not able to exchange such things with other club members then there is no benefit of staying in or joining the club. hope u improve this. this is very readable."
2988,simply said....its totally waste game...
2989,it's good really nice game
2990,a fun game to pass your time !
2991,really i like this game very much install and enjoy best graphics play quick
2992,love it hasn't given any problems so far
2993,awesome game
2994,"worst gane ever! sometimes when i produce something in the factory , it gives me chances to watch ads and finish the production quickly. and today, i dont know what happened to the game, i started a assignment in the contest is tower and it ask me to produce 30 animal feed , i only have 6 hours. i wen to start producing it.after 2 hours i came back.i tried to watch ad and it dont even let me to watch any ads. it is wasting my time.pls let me to watch more ads or i will delete it immediately"
2995,i like the game
2996,i love it its my favor game
2997,very hard and lots and lots to think about
2998,i can't tell anything for this game
2999,fun game
3000,wow
3001,the game is so addicted and so fun i give it 10 out of 10
3002,player is more of a city planner or real estate developer than a mayor. good time killer.
3003,i love this game so much it also takes my mind off of sites
3004,awesome
3005,nice
3006,soo good!
3007,this game is really soo good.i have one request that we should also buy premium vu pass buy using smash.because i buy some smash and now i don't have money to buy premium vu pass but i have smash.so please add this...❤️... i don't wanna miss this premium vu pass...
3008,excellent
3009,this is a the best game so far
3010,"great math game. only gave it 3 because even though you expect people who pay for premium passes to have an advantage, the challenge contest also begins and ends with an unfair advantage to the opposite side of the world. it is 7 nights 6 days for me vs. 7 days 6 nights. it's the same every time"
3011,"this game is very expensive,i have spent i fortune in real money, over the last five years. it is very addictive and i keep playing even though it is costing me money. because it is interactive and the graphics are very good. and can not let go, i like to see the outcome of my actions."
3012,wow
3013,pretty good fun
3014,great game but difficult to get connected to friends through facebook.
3015,good game ! hard to make funds
3016,nice graphics
3017,im enjoying this game
3018,worst game ever seen
3019,i love the game but you can't play with out given the game rl money
3020,cool game! nice graphics. it is just hard to get expansion parts. but what is a game without challenges? i recommend this game. nice game after a hard day of work to calm you down and relax. well done!
3021,"awesome game, lots of fun."
3022,fun
3023,i received a message to update the game and l did but l don't see any difference. also noted there are no rewards given during the challenge. what do l need to do to actually get an update?
3024,cool
3025,best dok!
3026,"pay to win or get anywhere, of course. ok, but soon becomes tedious if you're not willing to fork out"
3027,great app install now
3028,"fun game, just takes awhile to get enough money to build"
3029,best game ever
3030,cool game. the best one for me thanks
3031,challenging and an amazing game
3032,good game..
3033,it's amazing game
3034,fun game could spend a while playing it but materials take too long to make and i always find i never have enough money for services like garbage.
3035,awesome
3036,love it build city's and wars awesome
3037,excellent
3038,i love this game
3039,it a vary good i enjoy it that all i have to say
3040,incredible game
3041,good.
3042,nice
3043,i love this game so much and i played 1.99$ and i did not revert it thanks soo much for making this game the people who did 1 star should regret it im already on level 5 when i started yesterday!! love it try now for free!!! :3
3044,kinda hard and i have to pay lots of gems
3045,good game
3046,fun little village professor
3047,this game is door
3048,"i hope the next hope update of dragon city there will be a ""guild war"" and the members of the alliance will be 30. and pls dragoncity creator the events are so many can you lessen it up 🤷‍♂️ it's like 7 events in 1 month i can't keep up with my new warriors i can't a+ them quickly, i want old dragon city back! i play this game since 2013"
3049,"very fun and a good way to pass this quarantine and covid riddled time. keep up the amazing job developers, i look forward to more cool and unique dragons!!"
3050,i love the game but your surveys are clearly for identity theft like good job hiding it in a kids game but who tf made those they have got to be removed
3051,great
3052,nice game
3053,love it
3054,away
3055,it is amazing! i had not played it for a few day and i got a hundred gems! try to do it!
3056,fun game
3057,i like this game
3058,si cool but pls mot may acc back pls
3059,it's good but the prices of the gems and things are so expensive
3060,i can play this game for hours and not get bored.
3061,100% worth to pla
3062,good
3063,nice
3064,this is the best game ever.i love this game
3065,best game
3066,this is so so much coooolllll
3067,i love this game i always play
3068,good to play an enjoy
3069,fun
3070,this game only delivers the best content soooooo fun love it
3071,good
3072,it's ok
3073,it's great but must make a sb737 dragon
3074,its supperice
3075,a good game
3076,i am so addicted to this game. in my opinion this is the best game i have played on mobile.
3077,thus is a good game!
3078,it dose not even let you download it so do not even try if you do remember this review so don't blame me if it dose not work!!!
3079,this is a pretty good game but al i wish for is more gold when starting the game
3080,ez 2 play
3081,great game overall!!!!!!!!!!!!!
3082,good but me noon don't has high dragon 🤧
3083,it's good but it would be very nice if you could trade dragon instead of only dragon obs still a very nice game.
3084,great
3085,i have a question how do we search for dragons like they did in the ad?
3086,this game has to many adds and is pay to win no strategy just pay to win
3087,nice game
3088,its amazing i am enjoying
3089,i disappointed about the event because of the rewards is annoying..
3090,paying bessssss
3091,its fun cup u nave dragons
3092,it's so good!! you should install this game
3093,this game is so much fun!!!!
3094,it's a good game. but that's hard to collect gems. overall it's good
3095,having fun
3096,great
3097,i wish when you delete tha game when you download it again you will have your old city
3098,it has alot of waiting but even so it's very fun.
3099,ok
3100,i love this game
3101,this is exciting game
3102,very good
3103,fall guys
3104,5 star
3105,cool
3106,i love this game
3107,good
3108,it's so lang
3109,awesome
3110,takes to much time
3111,it's a good game but there are to many ads sorry but i have to tell the truth
3112,بضان
3113,its not as lang as i thought it would be good game play it if you have a good phone
3114,if your for a great dragon game this one is for you and it has no ads
3115,best game ever
3116,it's very fantastic game i played this game for 6 or 7 years this game is fun collecting dragons and fight each other i loves this game its totally great game for me
3117,super game
3118,the style is the best
3119,why can't we play it offline instead of online
3120,this game is good
3121,"i rate this 5 stars because when you don't play this game for 1 or 2 years, you will get 200 gems and a bonekeeper dragon and the jewel dragon for free"
3122,has problem..it 69% loading..
3123,brilliant
3124,second. best. game. you. now ml is da best. game
3125,very good
3126,amazing game its awesome but i got so sad that i missed all the events but i have tons of them get a great work
3127,useless dragon city foods just always get in the chest
3128,tang ina no pa play mayo ng play ng adds aka ads no mawawawalan mayo ng player mga bob
3129,"i'd give the game 4 stars, i love it its my childhood game favourite still is"
3130,good game
3131,very boring game
3132,"the best! so fun! lots of fun with plenty of different activities! i hope others like it to!!!!!!!! ,,,,,,...........!"
3133,i just don't like how this app let the restaurant get my number when i order food. they shouldn't have any information about that.
3134,"better, so much better"
3135,"paying delivery, then a service fee. more than what you bought. hope doi knows about this over pricing charges."
3136,bad services and took so long to provide an update via email when promised to get back within 3-5 working days. lol must continue to ask them for updates. up till now still now updates lol
3137,good
3138,convenient and efficient for today lifestyle
3139,"bravo utc grab, komplett target apa² ada, mala ini sy but seal eras origami utc anak prakarya, such mala males cellar car². bunka aplikasi sebelah, ng ada. pas bunka grab bit search langsung cellar took yg mental stationary, akhrnya mala belt sekalian bring² yg secret terlupa. one target grab, komplett split layanannya"
3140,"i have my account from 2018 and i just change my phone and i can't log in. told me to make new account using different gmail because is ""already using"". fix this asap"
3141,good service
3142,good
3143,first time to use grab food here in philippines. really find it amazing. rider is very good.
3144,excellent service
3145,thank you
3146,fast food delivery
3147,wide variety and convenient
3148,great
3149,we are able to enjoy purchasing because of the promos. very accessible app and fast delivery.
3150,"compare with other food delivery , it have very excellent service"
3151,bags...sat sauna ojo dakota say jade tidal ada yg bias dijadikan demanding
3152,nice
3153,1st time user so far so good
3154,grab food rider all are friendly.
3155,convenient
3156,kerala serif homer hp say gamasuk² ya kenya ke hp say salvo say stuck jadinya gaisha dspace
3157,"the best application this far, because grab provides some promotions we can use. hopefully the promotions are available for every purchase and restaurant/kind of transactions"
3158,suspended my account for no apparent reason.
3159,"now it is unusable. update caused it to become non-responsive and after installing, it can't be installed. edit: previously 4star rated - first review: has some bugs, has some driver who aren't great. but otherwise, it's an ok app."
3160,makes my travel and food hunting easier
3161,good.
3162,i love this app! i will recommend this app for food delivery pass install it.
3163,been using this apps for years. what a pro!
3164,i use grad for food deliveries. and it's worth the stars .. since you could basically see where your rider is and the delivery is fast compared to the main delivery of the stores that i want to order with.
3165,more power to the team....keep up the good work...
3166,make me easier to order food that are far from my home.. really love the service also the customer service
3167,fine
3168,terrain
3169,easy to use and reliable. highly recommended.
3170,unable to order food at lunch time and dinner time even the restaurant nearby !
3171,good app
3172,we tried order via grab food when on the way back home from work. but unfortunately it doesnt come out default saved location address (hòme) but instead detecting only current location where the car is passing through. tried updating still the same n tried on 2 phones still the same. apparently we had to reach home only then our default address is detected but too late for us to order. reason why we wanted to order earlier when driving home so that we dont have to wait
3173,perfect !!
3174,best of the best
3175,bad
3176,gps and pin always haywire. can't select address that you want.
3177,very bad customer service especially from alex albert. rain water was inside the food container already but reject to proceed refund or no compensation for this issue. will not use grab food again due to this issue.
3178,0aaa...
3179,good for ordering
3180,this app helped a lot of people especially during this pandemic. very convenient to use. kudos to everyone from grab!
3181,thank u!
3182,medal ng delivery charge agenda lang sa similar pero kalaunan ang paint ng serbisyu..
3183,terrain
3184,cannot pin exact location in maps. please fix it. it hard when grab driver or food grab cannot find their way to our place.
3185,convenient app!
3186,love this app
3187,very convenient. i have not have any negative experience in the years that i have used your services. keep it up. god bless all your drivers!
3188,discount nya bear
3189,"excellent service,good customer service delivered"
3190,so fast and quick
3191,excellent
3192,ok
3193,🤓
3194,bad
3195,amazing
3196,more promos for grab food please
3197,got double charge for one order. please return my money!!
3198,i like grab's points system and the fact that they are able to deliver from many places!! would be better if they also had a pick up function
3199,the app is stable and it's so user-friendly.
3200,so far so good
3201,ga bias update? app dibuka cellar terms :(
3202,top
3203,good
3204,excellent
3205,pelayanan customer servicenya lama.. harms di type dengan pulse dan prose sample diangkat ole customer service jug melewati want sample hamper 1 merit.. bang2 pulse. mengecewakan
3206,"baru install register email,, langsung ke suspend , random target dah"
3207,promo terms ya grab id
3208,apa masalahnya ni tribe je ken book leaps bang app ni bill download and login malik kata tak bold haishhhhhhh
3209,hindi ma gugutom sa app nato!
3210,"this latest update is the worst. it doesnt update at all, stuck sha sa pending. i installed and tried installing, pero stuck pain sa pending. tried via wifi and mobile data. please fix this."
3211,good but one thing i dont like about this app is the minimum money to popup is too much.
3212,i updated with the new version of grab. but when i enter my email it's always an error. even though my email is fine.
3213,"cannot pin my house, away snap to nearest place that show on map... some driver go to wrong place"
3214,upgrade truss
3215,quite helpful try to make it more relative ly relevant and not much questionnaire just provide feedback from customer directly to expedite improvisation ts
3216,easy to use and really helpful
3217,disappointed
3218,good and kind riders
3219,
3220,app งงๆ บอกซื้อ package ไม่ได้เพราะแอปยังไม่ใช่ latest version ทั้งที่ก็เป็น latest version แล้ว
3221,i can't in to grab with my google. it is so bad application
3222,
3223,ko ad four trial aka manga membantu
3224,comfortable
3225,i have an application but i don't have a grab taxi to booked
3226,omg
3227,great service
3228,fossil
3229,susan date drivernya.
3230,nice
3231,it has been a good experience for me...i always get good and easy emi options. with low processing fee. i like it. thank you!
3232,very useful app for my consumer needs. fast and smooth process. less fess and charges. great app thank you!!
3233,very useful and trustworthy app. best app for online loan. giving good credit to buy products and also personal loan. application process is very easy and interest amount is very low and give quick loan.. best services tata capital. thank you!!
3234,"hi, i had very good experience with tata capital .its an app which is very easy and user friendly. i like it very much. i have very good experience to buy a product in easy emi. thank you."
3235,i'm happy to be a customer of tata capita and will be always grateful to its super fast services. this app helps me a lot when i needed. thank you!!
3236,worst bad time pass
3237,too good app. for everyone to take this loan and pay back with little rate of interest.
